vehicleId;maxBatteryLevelKm;nbTSTraveling
Vehicle_1;33;15
Vehicle_13;33;15
Vehicle_2;24;14
Vehicle_12;65;16
Vehicle_15;35;17
Vehicle_14;23;5
Vehicle_30;41;16
Vehicle_11;28;8
Vehicle_10;15;10
Vehicle_17;33;10
Vehicle_16;28;13
Vehicle_19;26;7
Vehicle_18;31;10
Vehicle_9;26;9
Vehicle_7;37;10
Vehicle_8;28;12
Vehicle_5;26;8
Vehicle_6;34;6
Vehicle_3;52;19
Vehicle_4;75;17
Vehicle_24;24;7
Vehicle_23;53;19
Vehicle_26;26;7
Vehicle_25;24;12
Vehicle_20;45;20
Vehicle_22;61;16
Vehicle_21;52;18
Vehicle_28;30;9
Vehicle_27;16;6
Vehicle_29;31;15
