TS;Vehicle4Profile
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;1
33;8
34;15
35;21
36;28
37;19
38;9
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;7
48;13
49;0
50;0
51;0
52;2
53;9
54;15
55;22
56;29
57;35
58;42
59;49
60;55
61;62
62;69
63;75
64;68
65;60
66;46
67;32
68;24
69;15
70;7
71;14
72;20
73;27
74;34
75;25
76;16
77;8
78;14
79;21
80;28
81;18
82;9
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
