TS;SATISFIED_DEMAND;UNSATISFIED_DEMAND
0;1;0
1;0;0
2;0;1
3;0;0
4;0;0
5;0;0
6;0;0
7;2;0
8;1;0
9;0;0
10;1;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;1;0
17;0;0
18;0;0
19;0;0
20;1;0
21;1;0
22;1;0
23;1;0
24;2;0
25;2;0
26;2;0
27;0;0
28;2;0
29;0;0
30;2;0
31;3;1
32;5;0
33;2;1
34;4;2
35;0;1
36;6;1
37;4;0
38;3;1
39;1;1
40;4;1
41;1;1
42;2;1
43;1;1
44;4;0
45;5;0
46;5;1
47;1;0
48;4;1
49;3;0
50;6;0
51;2;0
52;2;1
53;1;0
54;3;0
55;2;0
56;2;0
57;4;0
58;1;0
59;4;0
60;3;0
61;1;0
62;3;0
63;6;0
64;3;0
65;3;2
66;3;0
67;6;1
68;2;3
69;4;0
70;3;0
71;3;0
72;2;0
73;5;1
74;3;0
75;0;0
76;3;0
77;2;1
78;3;0
79;4;0
80;1;0
81;0;0
82;0;0
83;1;0
84;3;0
85;1;0
86;2;0
87;0;0
88;0;0
89;0;0
90;0;0
91;1;0
92;0;0
93;0;0
94;0;0
95;0;0
